geoid,name,pop
9700000US1301020,"Chatham County School District, Georgia",220481
9700000US1301110,"Cherokee County School District, Georgia",183825
9700000US1301170,"Clarke County School District, Georgia",99653
9700000US1301230,"Clayton County School District, Georgia",192381
9700000US1301290,"Cobb County School District, Georgia",479884
9700000US1301410,"Columbia County School District, Georgia",115224
9700000US1301500,"Coweta County School District, Georgia",109457
9700000US1301740,"DeKalb County School District, Georgia",486854
9700000US1301830,"Dougherty School District, Georgia",66493
9700000US1301860,"Douglas County School District, Georgia",103087
9700000US1302130,"Fayette County School District, Georgia",82659
9700000US1302220,"Forsyth County School District, Georgia",154998
9700000US1302280,"Fulton County School District, Georgia",403779
9700000US1302400,"Glynn County School District, Georgia",65430
9700000US1302520,"Spalding County School District, Georgia",49737
9700000US1302550,"Gwinnett County School District, Georgia",556819
9700000US1302610,"Hall County School District, Georgia",106680
9700000US1302820,"Henry County School District, Georgia",169958
9700000US1302880,"Houston County School District, Georgia",114015
9700000US1303870,"Muscogee County School District, Georgia",138734
9700000US1303930,"Newton County School District, Georgia",79035
9700000US1304020,"Paulding County School District, Georgia",120119
9700000US1304380,"Richmond County School District, Georgia",153303
9700000US1304410,"Rockdale County School District, Georgia",65185
9700000US1305370,"Walker County School District, Georgia",52456
9700000US1305390,"Walton County School District, Georgia",65978
9700000US1305700,"Whitfield County School District, Georgia",45173
9700000US1500030,"Hawaii Department of Education, Hawaii",1014035
9700000US1600360,"Boise City Independent School District 1, Idaho",160602
9700000US1600780,"Coeur d'Alene School District 271, Idaho",62845
9700000US1602100,"Meridian Joint School District 2, Idaho",179035
9700000US1602340,"Nampa School District 131, Idaho",69526
9700000US1602640,"Pocatello School District 25, Idaho",58538
9700000US1704680,"Aurora East Unit School District 131, Illinois",43300
9700000US1704710,"Aurora West Unit School District 129, Illinois",56101
9700000US1708550,"Community Unit School District 300, Illinois",85970
9700000US1709420,"Champaign Community Unit School District 4, Illinois",74183
9700000US1709930,"Chicago Public School District 299, Illinois",1872121
9700000US1711850,"Decatur School District 61, Illinois",49287
9700000US1713710,"School District U-46, Illinois",154694
9700000US1727710,"Naperville Community Unit District 203, Illinois",71409
9700000US1728620,"McLean County Unit School District 5, Illinois",76822
9700000US1730270,"Oswego Community Unit School District 308, Illinois",57794
9700000US1731230,"Peoria School District 150, Illinois",72885
9700000US1731740,"Plainfield School District 202, Illinois",85186
9700000US1734510,"Rockford School District 205, Illinois",132191
9700000US1737080,"Springfield School District 186, Illinois",83275
9700000US1737170,"St. Charles Community Unit School District 303, Illinois",53244
9700000US1740070,"Valley View Community Unit School District 365U, Illinois",60921
9700000US1741250,"Waukegan Community Unit School District 60, Illinois",47068
9700000US1741690,"Indian Prairie Community Unit School District 204, Illinois",86174
9700000US1742180,"Community Unit School District 200, Illinois",57693
9700000US1800150,"Anderson Community School Corporation, Indiana",54381
9700000US1800360,"Bartholomew County School Corporation, Indiana",52646
9700000US1800630,"Monroe County Community School Corporation, Indiana",103141
9700000US1801200,"Carmel Clay Schools, Indiana",69744
9700000US1802850,"East Allen County Schools, Indiana",48456
9700000US1803270,"Elkhart Community Schools, Indiana",53960
9700000US1803450,"Evansville-Vanderburgh School Corporation, Indiana",138743
9700000US1803630,"Fort Wayne Community Schools, Indiana",162221
9700000US1803870,"Gary Community School Corporation, Indiana",48985
9700000US1803940,"Greater Clark County Schools, Indiana",62366
9700000US1804320,"Hammond School City, Indiana",54565
9700000US1804770,"Indianapolis Public Schools, Indiana",225056
9700000US1805450,"Lake Central School Corporation, Indiana",52945
9700000US1805670,"Lawrence Township Metropolitan School District, Indiana",76017
9700000US1807320,"Muncie Community Schools, Indiana",57105
9700000US1807410,"New Albany-Floyd County Consolidated Schools, Indiana",59728
9700000US1808760,"Penn-Harris-Madison School Corporation, Indiana",47046
9700000US1808820,"Perry Township Metropolitan School District, Indiana",67215
9700000US1808910,"Pike Township Metropolitan School District, Indiana",52976
9700000US1810290,"South Bend Community School Corporation, Indiana",116122
9700000US1810650,"Hamilton Southeastern Schools, Indiana",76382
9700000US1811340,"Tippecanoe School Corporation, Indiana",76262
9700000US1812090,"Vigo County School Corporation, Indiana",83488
9700000US1812360,"Warren Township Metropolitan School District, Indiana",47740
9700000US1812720,"Washington Township Metropolitan School District, Indiana",72707
9700000US1812810,"Wayne Township Metropolitan School District, Indiana",52652
9700000US1903690,"Ankeny Community School District, Iowa",48678
9700000US1906540,"Cedar Rapids Community School District, Iowa",92698
9700000US1908580,"Davenport Community School District, Iowa",82795
9700000US1908970,"Des Moines Independent Community School District, Iowa",153257
9700000US1909480,"Dubuque Community School District, Iowa",58902
9700000US1914700,"Iowa City Community School District, Iowa",89646
9700000US1926400,"Sioux City Community School District, Iowa",58625
9700000US1930480,"Waterloo Community School District, Iowa",55377
9700000US1930510,"Waukee Community School District, Iowa",44087
9700000US1930930,"West Des Moines Community School District, Iowa",48892
9700000US2007950,"Kansas City Unified School District 500, Kansas",70791
9700000US2008400,"Lawrence Unified School District 497, Kansas",79905
9700000US2009180,"Manhattan Unified School District 383, Kansas",51127
9700000US2010140,"Olathe Unified School District 233, Kansas",109373
9700000US2011640,"Shawnee Mission Public Schools Unified School District, Kansas",173502
9700000US2012000,"Blue Valley Unified School District 229, Kansas",94979
9700000US2012260,"Topeka Public Schools Unified School District 501, Kansas",73013
9700000US2012990,"Wichita Unified School District 259, Kansas",230950
9700000US2100510,"Boone County School District, Kentucky",87674
9700000US2100750,"Bullitt County School District, Kentucky",62189
9700000US2101470,"Daviess County School District, Kentucky",53091
9700000US2101860,"Fayette County School District, Kentucky",238116
9700000US2102490,"Hardin County School District, Kentucky",67689
9700000US2102990,"Jefferson County School District, Kentucky",564590
9700000US2103090,"Kenton County School District, Kentucky",79450
9700000US2103720,"Madison County School District, Kentucky",65789
9700000US2104530,"Oldham County School District, Kentucky",48867
9700000US2105730,"Warren County School District, Kentucky",73714
9700000US2200090,"Ascension Parish School District, Louisiana",91000
9700000US2200270,"Bossier Parish School District, Louisiana",92857
9700000US2200300,"Caddo Parish School District, Louisiana",181832
9700000US2200330,"Calcasieu Parish School District, Louisiana",149253
9700000US2200540,"East Baton Rouge Parish School District, Louisiana",273137
9700000US2200720,"Iberia Parish School District, Louisiana",50990
9700000US2200840,"Jefferson Parish School District, Louisiana",309998
9700000US2200870,"Lafayette Parish School District, Louisiana",181358
9700000US2200900,"Lafourche Parish School District, Louisiana",73359
9700000US2201020,"Livingston Parish School District, Louisiana",103203
9700000US2201170,"Orleans Parish School District, Louisiana",303459
9700000US2201200,"Ouachita Parish School District, Louisiana",80302
9700000US2201290,"Rapides Parish School District, Louisiana",95767
9700000US2201560,"St. Landry Parish School District, Louisiana",60519
9700000US2201650,"St. Tammany Parish School District, Louisiana",193466
9700000US2201680,"Tangipahoa Parish School District, Louisiana",100134
9700000US2201740,"Terrebonne Parish School District, Louisiana",80173
9700000US2309930,"Portland, Maine",55886
9700000US2400030,"Allegany County Public Schools, Maryland",57871
9700000US2400060,"Anne Arundel County Public Schools, Maryland",432624
9700000US2400090,"Baltimore City Public Schools, Maryland",452779
9700000US2400120,"Baltimore County Public Schools, Maryland",607700
9700000US2400150,"Calvert County Public Schools, Maryland",70096
9700000US2400210,"Carroll County Public Schools, Maryland",130117
9700000US2400240,"Cecil County Public Schools, Maryland",78499
9700000US2400270,"Charles County Public Schools, Maryland",119709
9700000US2400330,"Frederick County Public Schools, Maryland",188353
9700000US2400390,"Harford County Public Schools, Maryland",196554
9700000US2400420,"Howard County Public Schools, Maryland",222241
9700000US2400480,"Montgomery County Public Schools, Maryland",670933
9700000US2400510,"Prince George's County Public Schools, Maryland",596445
9700000US2400600,"St. Marys County Public Schools, Maryland",84469
9700000US2400660,"Washington County Public Schools, Maryland",113328
9700000US2400690,"Wicomico County Public Schools, Maryland",75589
9700000US2502790,"Boston School District, Massachusetts",496231
9700000US2503090,"Brockton School District, Massachusetts",62587
9700000US2503270,"Cambridge School District, Massachusetts",85649
9700000US2504830,"Fall River School District, Massachusetts",63216
9700000US2504980,"Framingham School District, Massachusetts",44298
9700000US2506660,"Lawrence School District, Massachusetts",45447
9700000US2507020,"Lowell School District, Massachusetts",81561
9700000US2507110,"Lynn School District, Massachusetts",53232
9700000US2508430,"New Bedford School District, Massachusetts",63933
9700000US2508610,"Newton School District, Massachusetts",63971
9700000US2509870,"Quincy School District, Massachusetts",66741
9700000US2510890,"Somerville School District, Massachusetts",59608
9700000US2511130,"Springfield School District, Massachusetts",109071
9700000US2513230,"Worcester School District, Massachusetts",129079
9700000US2600015,"Wayne-Westland Community School District, Michigan",62944
9700000US2602820,"Ann Arbor Public Schools, Michigan",127324
9700000US2604260,"Bay City School District, Michigan",54917
9700000US2609570,"Chippewa Valley Schools, Michigan",75326
9700000US2611600,"Dearborn City School District, Michigan",61353
9700000US2612000,"Detroit City School District, Michigan",482693
9700000US2614070,"Farmington Public School District, Michigan",60013
9700000US2614520,"Flint City School District, Michigan",70707
9700000US2616440,"Grand Rapids Public Schools, Michigan",141247
9700000US2619950,"Kalamazoo Public School District, Michigan",85676
9700000US2620340,"Kentwood Public Schools, Michigan",43991
9700000US2621150,"Lansing Public School District, Michigan",90181
9700000US2621840,"Livonia Public Schools, Michigan",89042
9700000US2621870,"L'Anse Creuse Public Schools, Michigan",55247
9700000US2628560,"Plymouth-Canton Community Schools, Michigan",89804
9700000US2628740,"Pontiac City School District, Michigan",54636
9700000US2628830,"Port Huron Area School District, Michigan",51842
9700000US2629940,"Rochester Community School District, Michigan",68467
9700000US2632310,"Southfield Public School District, Michigan",57575
9700000US2633540,"Taylor School District, Michigan",51716
9700000US2633870,"Traverse City Area Public Schools, Michigan",69227
9700000US2634260,"Troy School District, Michigan",44575
9700000US2634470,"Utica Community Schools, Michigan",146606
9700000US2635160,"Walled Lake Consolidated Schools, Michigan",74723
9700000US2635190,"Warren Consolidated Schools, Michigan",85023
9700000US2635310,"Waterford School District, Michigan",63474
9700000US2703180,"Anoka-Hennepin Public School District, Minnesota",183190
9700000US2705790,"Bloomington Public School District, Minnesota",66091
9700000US2707290,"Burnsville Public School District, Minnesota",49396
9700000US2711040,"Duluth Public School District, Minnesota",76763
9700000US2711370,"Elk River Public School District, Minnesota",58820
9700000US2714260,"Hopkins Public School District, Minnesota",47917
9700000US2718780,"Mankato Public School District, Minnesota",51486
9700000US2721240,"Minneapolis Public School District, Minnesota",316435
9700000US2722950,"Mounds View Public School District, Minnesota",56880
9700000US2723850,"North St. Paul-Maplewood-Oakdale School District, Minnesota",62243
9700000US2725200,"Osseo Public School District, Minnesota",106416
9700000US2731780,"Robbinsdale Public School District, Minnesota",76571
9700000US2731800,"Rochester Public School District, Minnesota",95191
9700000US2732390,"Rosemount-Apple Valley-Eagan, Minnesota",109886
9700000US2733510,"St. Cloud Public School District, Minnesota",78280
9700000US2733810,"South Washington County School District, Minnesota",75987
