geoid,name,pop
0500000US21117,"Kenton County, Kentucky",124007
0500000US21145,"McCracken County, Kentucky",50522
0500000US21151,"Madison County, Kentucky",72355
0500000US21185,"Oldham County, Kentucky",48867
0500000US21227,"Warren County, Kentucky",94053
0500000US22005,"Ascension Parish, Louisiana",91000
0500000US22015,"Bossier Parish, Louisiana",92857
0500000US22017,"Caddo Parish, Louisiana",181832
0500000US22019,"Calcasieu Parish, Louisiana",149253
0500000US22033,"East Baton Rouge Parish, Louisiana",324400
0500000US22045,"Iberia Parish, Louisiana",50990
0500000US22051,"Jefferson Parish, Louisiana",309998
0500000US22055,"Lafayette Parish, Louisiana",181358
0500000US22057,"Lafourche Parish, Louisiana",73359
0500000US22063,"Livingston Parish, Louisiana",103203
0500000US22071,"Orleans Parish, Louisiana",303459
0500000US22073,"Ouachita Parish, Louisiana",113849
0500000US22079,"Rapides Parish, Louisiana",95767
0500000US22097,"St. Landry Parish, Louisiana",60519
0500000US22103,"St. Tammany Parish, Louisiana",193466
0500000US22105,"Tangipahoa Parish, Louisiana",100134
0500000US22109,"Terrebonne Parish, Louisiana",80173
0500000US23001,"Androscoggin County, Maine",83221
0500000US23003,"Aroostook County, Maine",54086
0500000US23005,"Cumberland County, Maine",233875
0500000US23011,"Kennebec County, Maine",98670
0500000US23019,"Penobscot County, Maine",123660
0500000US23031,"York County, Maine",166640
0500000US24001,"Allegany County, Maryland",57871
0500000US24003,"Anne Arundel County, Maryland",432624
0500000US24005,"Baltimore County, Maryland",607700
0500000US24009,"Calvert County, Maryland",70096
0500000US24013,"Carroll County, Maryland",130117
0500000US24015,"Cecil County, Maryland",78499
0500000US24017,"Charles County, Maryland",119709
0500000US24021,"Frederick County, Maryland",188353
0500000US24025,"Harford County, Maryland",196554
0500000US24027,"Howard County, Maryland",222241
0500000US24031,"Montgomery County, Maryland",670933
0500000US24033,"Prince George's County, Maryland",596445
0500000US24037,"St. Mary's County, Maryland",84469
0500000US24043,"Washington County, Maryland",113328
0500000US24045,"Wicomico County, Maryland",75589
0500000US24510,"Baltimore city, Maryland",452779
0500000US25001,"Barnstable County, Massachusetts",174786
0500000US25003,"Berkshire County, Massachusetts",101919
0500000US25005,"Bristol County, Massachusetts",423517
0500000US25009,"Essex County, Massachusetts",563889
0500000US25011,"Franklin County, Massachusetts",56889
0500000US25013,"Hampden County, Massachusetts",356838
0500000US25015,"Hampshire County, Massachusetts",130881
0500000US25017,"Middlesex County, Massachusetts",1144612
0500000US25021,"Norfolk County, Massachusetts",513230
0500000US25023,"Plymouth County, Massachusetts",396497
0500000US25025,"Suffolk County, Massachusetts",563302
0500000US25027,"Worcester County, Massachusetts",609463
0500000US26005,"Allegan County, Michigan",88281
0500000US26017,"Bay County, Michigan",82219
0500000US26021,"Berrien County, Michigan",116403
0500000US26025,"Calhoun County, Michigan",101368
0500000US26037,"Clinton County, Michigan",61247
0500000US26045,"Eaton County, Michigan",85536
0500000US26049,"Genesee County, Michigan",311677
0500000US26055,"Grand Traverse County, Michigan",74327
0500000US26065,"Ingham County, Michigan",220421
0500000US26073,"Isabella County, Michigan",56718
0500000US26075,"Jackson County, Michigan",123467
0500000US26077,"Kalamazoo County, Michigan",199066
